,id,predicted_class_,actual_class_,words
0,0,complex problem solving,technical,"['portfolio', 'analyst', 'forecast', 'leas', 'invest', 'portfolio', 'portfolio', 'forecast', 'star', 'path', 'acquisit', 'financ', 'estat', 'analyst', 'strength', 'player', 'acumen', 'powerpoint', 'deliver', 'urgenc', 'constraint', 'desir', 'estat', 'advantag', 'portfolio', 'analyst', 'valid', 'forecast', 'cash', 'flow', 'region', 'region', 'major', 'leas', 'cash', 'flow', 'forecast', 'occup', 'varianc', 'capit', 'invest', 'competitor', 'compil', 'competitor', 'forecast', 'region', 'region', 'key', 'compil', 'find', 'move', 'urgenc', 'overview', 'cloud', 'estat', 'foundat', 'carrier', 'estat', 'acumen', 'strength', 'choic', 'foundat', 'internet', 'heart', 'internet', 'cloud', 'portfolio', 'size', 'cloud', 'game', 'workforc', 'perspect', 'societi', 'invest', 'vet', 'subsidiari', 'fee', 'referr', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'estat', 'invest', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
1,1,technical,technical,"['fact', 'interfac', 'patent', 'cloud', 'cloud', 'match', 'stock', 'obstacl', 'electron', 'season', 'home', 'game', 'electron', 'segment', 'link', 'tier', 'satellit', 'interfac', 'distributor', 'window', 'definit', 'cycl', 'limit', 'constraint', 'mileston', 'complex', 'channel', 'alloc', 'timelin', 'portfolio', 'definit', 'interfac', 'complex', 'channel', 'flow', 'schemat', 'layout', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
2,2,technical,technical,"['electron', 'tech', 'volum', 'complex', 'defens', 'aerospac', 'tier', 'thing', 'lifecycl', 'box', 'assembl', 'fulfil', 'reliabl', 'electron', 'tech', 'iso', 'iso', 'iso', 'commod', 'chain', 'commod', 'commod', 'target', 'commod', 'tech', 'commod', 'circuit', 'commod', 'chain', 'involv', 'hub', 'stock', 'target', 'commod', 'supplier', 'commod', 'supplier', 'metric', 'commod', 'commod', 'commod', 'circuit', 'conform', 'root', 'root', 'reliabl', 'supplier', 'visit', 'circuit', 'commod', 'updat', 'adjust', 'commod', 'marketplac', 'commod', 'benchmark', 'chain', 'supplier', 'solv', 'player', 'rapport', 'facilit', 'listen', 'outlook', 'powerpoint', 'commod', 'draw', 'supplier', 'iso', 'iso', 'supplier', 'commod', 'fabric', 'circuit', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
3,3,technical,technical,"['machineri', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'wire', 'conduit', 'conduit', 'cabl', 'cabl', 'wire', 'diagram', 'transform', 'motor', 'panel', 'circuit', 'switch', 'gear', 'motor', 'panel', 'conveyor', 'light', 'identif', 'card', 'continu', 'circuit', 'wire', 'fixtur', 'hazard', 'adjust', 'wire', 'malfunct', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'dental', 'prescript', 'profit', 'share', 'save', 'incent', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'manual', 'diagram', 'blueprint', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'electrician', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
4,4,technical,technical,"['overhaul', 'key', 'key', 'mechan', 'draw', 'diagram', 'manual', 'trade', 'seri', 'deposit', 'verif', 'verifi', 'right', 'bargain', 'remov', 'glove', 'shoe', 'lock', 'card', 'length', 'trade', 'occup', 'emphasi', 'length', 'locksmith', 'cycl', 'malfunct', 'clean', 'pick', 'wrench', 'drill', 'drill', 'press', 'lock', 'mechan', 'trade', 'lock', 'draw', 'diagram', 'manual', 'trade', 'occup', 'classif', 'wage', 'overview', 'overtim', 'overtim', 'station', 'defens', 'motor', 'forklift', 'lift', 'incent', 'incent', 'payment', 'incent', 'weight', 'stand', 'lock', 'exit', 'weather', 'cut', 'determin', 'error', 'accomplish', 'start', 'date', 'seri', 'membership', 'credenti', 'membership', 'credenti', 'substitut', 'questionnair', 'date', 'semest', 'coursework', 'releas', 'discharg', 'date', 'charact', 'date', 'charact', 'advisor', 'releas', 'discharg', 'command', 'command', 'branch', 'date', 'discharg', 'charact', 'marriag', 'version', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
5,5,technical,technical,"['traffic', 'wire', 'conduit', 'head', 'connect', 'traffic', 'modif', 'traffic', 'court', 'deposit', 'traffic', 'lift', 'traffic', 'crane', 'lift', 'traffic', 'crane', 'lift', 'apprenticeship', 'electron', 'phase', 'troubleshoot', 'factori', 'machineri', 'conduit', 'wire', 'conduit', 'wire', 'machineri', 'light', 'traffic', 'assembl', 'speed', 'blueprint', 'schemat', 'payrol', 'date', 'traffic', 'crane', 'crane', 'traffic', 'optic', 'logic', 'circuit', 'proof', 'proof', 'apprenticeship', 'proof', 'submitt', 'fax', 'alcohol', 'alcohol', 'prescript', 'fact', 'termin', 'address', 'save', 'negoti', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
6,6,complex problem solving,complex problem solving,"['profit', 'quantiti', 'price', 'payrol', 'expens', 'invoic', 'price', 'launch', 'movement', 'profit', 'complaint', 'ethic', 'assur', 'complaint', 'map', 'manual', 'open', 'close', 'price', 'tire', 'trade', 'featur', 'sell', 'mentor', 'sell', 'advantag', 'sell', 'avail', 'staf', 'achiev', 'continu', 'avail', 'apprais', 'discuss', 'courtesi', 'expens', 'appear', 'desk', 'start', 'recoveri', 'close', 'park', 'lot', 'cleanli', 'channel', 'ethic', 'disclosur', 'loss', 'prevent', 'wast', 'stream', 'trade', 'tire', 'profit', 'payrol', 'dollar', 'score', 'style', 'tire', 'tire', 'door', 'weather', 'climat', 'temperatur', 'clean', 'tabl', 'amount', 'walk', 'weight', 'lift', 'tabl', 'amount', 'weight', 'distanc', 'feet', 'eye', 'percept', 'distanc', 'eye', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
7,7,technical,technical,"['region', 'choic', 'overview', 'optim', 'root', 'wast', 'workforc', 'facilit', 'facilit', 'involv', 'internship', 'methodolog', 'investor', 'right', 'link', 'poster', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
8,8,technical,technical,"['lot', 'face', 'aldi', 'philosophi', 'price', 'demeanor', 'wage', 'workforc', 'establish', 'barrier', 'achiev', 'membership', 'adjust', 'region', 'flow', 'absenc', 'hazard', 'count', 'stock', 'paramet', 'merchandis', 'payrol', 'loss', 'priorit', 'alloc', 'identifi', 'link', 'aldi', 'owner', 'adapt', 'obstacl', 'align', 'motiv', 'cash', 'floor', 'clean', 'aldi', 'absenc', 'overtim', 'expens', 'rapport', 'trust', 'beverag', 'merchandis', 'height', 'wage', 'match', 'discount', 'prescript', 'aldi', 'militari', 'pregnanc', 'pregnanc', 'pregnanc', 'receipt', 'motor', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
9,9,technical,technical,"['applianc', 'applianc', 'open', 'applianc', 'courtesi', 'troubleshoot', 'refriger', 'estim', 'payment', 'payment', 'invoic', 'rout', 'sheet', 'circumst', 'climb', 'crawl', 'applianc', 'help', 'affili', 'fire', 'payment', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
