,id,predicted_class_,actual_class_,words_matched
0,0,complex problem solving,technical,"['cash', 'deliver', 'forecast', 'invest', 'advantag', 'competitor', 'flow', 'strength', 'internet', 'subsidiari', 'societi', 'foundat', 'player', 'capit', 'carrier', 'move', 'perspect', 'referr', 'leas', 'workforc', 'game', 'acumen', 'one', 'key', 'financ', 'valid', 'varianc', 'desir', 'major', 'size', 'analyst', 'region', 'cloud', 'constraint', 'heart', 'overview', 'powerpoint', 'fee', 'urgenc', 'portfolio', 'vet', 'star', 'path', 'estat', 'compil', 'find', 'acquisit', 'choic', 'occup']"
1,1,technical,technical,"['limit', 'electron', 'window', 'flow', 'home', 'channel', 'fact', 'cycl', 'match', 'schemat', 'game', 'tier', 'satellit', 'segment', 'layout', 'one', 'timelin', 'mileston', 'complex', 'interfac', 'cloud', 'constraint', 'stock', 'alloc', 'definit', 'obstacl', 'portfolio', 'patent', 'link', 'distributor', 'season']"
2,2,technical,technical,"['electron', 'chain', 'listen', 'supplier', 'defens', 'volum', 'player', 'circuit', 'assembl', 'commod', 'marketplac', 'tech', 'box', 'root', 'fulfil', 'benchmark', 'tier', 'rapport', 'adjust', 'one', 'facilit', 'iso', 'target', 'complex', 'aerospac', 'hub', 'lifecycl', 'solv', 'visit', 'draw', 'thing', 'stock', 'conform', 'metric', 'involv', 'updat', 'outlook', 'powerpoint', 'fabric', 'reliabl']"
3,3,technical,technical,"['motor', 'profit', 'panel', 'hazard', 'switch', 'malfunct', 'manual', 'circuit', 'dental', 'conduit', 'prescript', 'share', 'save', 'cabl', 'conveyor', 'continu', 'adjust', 'electrician', 'machineri', 'one', 'blueprint', 'fixtur', 'light', 'gear', 'wire', 'identif', 'incent', 'diagram', 'transform', 'card']"
4,4,technical,technical,"['branch', 'motor', 'semest', 'bargain', 'clean', 'trade', 'verifi', 'malfunct', 'start', 'advisor', 'questionnair', 'defens', 'manual', 'accomplish', 'classif', 'membership', 'press', 'cycl', 'exit', 'error', 'station', 'discharg', 'version', 'locksmith', 'wrench', 'releas', 'payment', 'date', 'substitut', 'wage', 'marriag', 'weather', 'right', 'drill', 'seri', 'overhaul', 'weight', 'stand', 'verif', 'one', 'key', 'cut', 'coursework', 'lock', 'length', 'forklift', 'charact', 'mechan', 'shoe', 'glove', 'draw', 'credenti', 'overview', 'command', 'remov', 'lift', 'incent', 'emphasi', 'pick', 'overtim', 'determin', 'diagram', 'occup', 'deposit', 'card']"
5,5,technical,technical,"['electron', 'deposit', 'address', 'alcohol', 'logic', 'apprenticeship', 'circuit', 'assembl', 'fact', 'conduit', 'head', 'optic', 'prescript', 'date', 'save', 'schemat', 'proof', 'machineri', 'one', 'blueprint', 'court', 'negoti', 'light', 'connect', 'traffic', 'payrol', 'phase', 'factori', 'speed', 'crane', 'wire', 'termin', 'lift', 'fax', 'submitt', 'modif', 'troubleshoot']"
6,6,complex problem solving,complex problem solving,"['featur', 'door', 'profit', 'climat', 'feet', 'eye', 'distanc', 'advantag', 'clean', 'invoic', 'trade', 'stream', 'start', 'apprais', 'amount', 'desk', 'manual', 'channel', 'disclosur', 'prevent', 'recoveri', 'movement', 'mentor', 'tire', 'map', 'avail', 'achiev', 'weather', 'tabl', 'continu', 'weight', 'courtesi', 'walk', 'price', 'staf', 'launch', 'one', 'dollar', 'style', 'discuss', 'payrol', 'wast', 'park', 'loss', 'cleanli', 'score', 'appear', 'quantiti', 'lift', 'close', 'ethic', 'open', 'lot', 'complaint', 'temperatur', 'percept', 'expens', 'assur', 'sell']"
7,7,technical,technical,"['facilit', 'involv', 'investor', 'optim', 'one', 'methodolog', 'root', 'poster', 'right', 'wast', 'link', 'workforc', 'region', 'choic', 'overview', 'internship']"
8,8,technical,technical,"['motor', 'cash', 'clean', 'hazard', 'priorit', 'flow', 'align', 'receipt', 'establish', 'floor', 'membership', 'motiv', 'aldi', 'height', 'identifi', 'prescript', 'wage', 'achiev', 'pregnanc', 'barrier', 'match', 'workforc', 'rapport', 'adjust', 'philosophi', 'price', 'one', 'discount', 'payrol', 'region', 'owner', 'loss', 'trust', 'absenc', 'beverag', 'stock', 'demeanor', 'alloc', 'merchandis', 'count', 'obstacl', 'paramet', 'militari', 'lot', 'overtim', 'link', 'expens', 'face', 'adapt']"
9,9,technical,technical,"['one', 'payment', 'help', 'open', 'invoic', 'sheet', 'refriger', 'climb', 'affili', 'fire', 'courtesi', 'estim', 'applianc', 'rout', 'circumst', 'troubleshoot', 'crawl']"
10,10,technical,technical,"['reserv', 'stack', 'distanc', 'dev', 'volum', 'altern', 'methodolog', 'avail', 'creed', 'pregnanc', 'proof', 'web', 'mobil', 'one', 'architectur', 'interfac', 'park', 'cloud', 'api', 'entiti', 'enterpris', 'framework', 'studio', 'troubleshoot', 'aptitud', 'pattern']"
11,11,technical,technical,"['transmiss', 'deploy', 'deliver', 'advantag', 'upgrad', 'switch', 'internet', 'channel', 'character', 'laser', 'error', 'creed', 'inclus', 'planner', 'scientist', 'configur', 'one', 'meter', 'traffic', 'gear', 'protocol', 'cloud', 'loss', 'thing', 'command', 'enterpris', 'protect', 'commiss', 'domain']"
12,12,technical,technical,"['convers', 'optim', 'deploy', 'landscap', 'subcontractor', 'influenc', 'start', 'calcul', 'submiss', 'boiler', 'litig', 'staf', 'one', 'audienc', 'solv', 'phase', 'paper', 'identif', 'urgenc', 'enforc', 'enterpris', 'submitt', 'estim', 'assur', 'analys']"
13,13,technical,technical,"['inspector', 'help', 'clean', 'supplier', 'volum', 'manual', 'player', 'sanit', 'wrench', 'side', 'diagram', 'tabl', 'workforc', 'teammat', 'one', 'visitor', 'forklift', 'correspond', 'owner', 'load', 'thing', 'cleanli', 'crew', 'socket', 'screwdriv', 'overtim', 'spreadsheet', 'ship', 'reliabl', 'workflow', 'card']"
